; "SupportedThreads",64,"UsedThreads",64,"TotalMemory",135065378816,"PlanRigor","estimate","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1544803191,"CurrentTimeLocal","Fri Dec 14 07:59:51 2018","Hostname","nid01757","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 6.4e-05
; "Time_ContextDestroy [ms]", 0.000208
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",2,"oddshape",256,267,0,1,4,"Warmup",0.00066,0.070647,0.062326,0.059582,0.088755,0.088071,0.06276,0.013331,0.446838,546816,0,546816,1.1835598102e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",2,"oddshape",256,267,0,2,4,"Success",0.000714,0.068516,0.061749,0.059511,0.085824,0.088261,0.062714,0.013075,0.440904,546816,0,546816,1.1835598102e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",2,"oddshape",256,267,0,3,4,"Success",0.000524,0.068279,0.060889,0.059711,0.085641,0.087205,0.071438,0.013383,0.447642,546816,0,546816,1.1835598102e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",2,"oddshape",256,267,0,4,4,"Success",0.000777,0.077501,0.060926,0.059136,0.087058,0.087557,0.063026,0.013092,0.449587,546816,0,546816,1.1835598102e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",2,"oddshape",256,267,0,5,4,"Success",0.000749,0.066564,0.059839,0.059559,0.084977,0.087065,0.062859,0.013565,0.43569,546816,0,546816,1.1835598102e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",2,"oddshape",256,267,0,6,4,"Success",0.00051,0.06731,0.060429,0.059663,0.085847,0.087493,0.062516,0.013004,0.437368,546816,0,546816,1.1835598102e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",2,"oddshape",256,267,0,7,4,"Success",0.000498,0.067677,0.060476,0.059601,0.085866,0.087558,0.062563,0.013405,0.438159,546816,0,546816,1.1835598102e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",2,"oddshape",256,267,0,8,4,"Success",0.000465,0.067555,0.060513,0.059868,0.085881,0.087761,0.06272,0.012756,0.438088,546816,0,546816,1.1835598102e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",2,"oddshape",256,267,0,9,4,"Success",0.000473,0.066603,0.06126,0.059531,0.085565,0.086615,0.062466,0.013272,0.436297,546816,0,546816,1.1835598102e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",2,"oddshape",256,267,0,10,4,"Success",0.000554,0.067512,0.062134,0.059644,0.08696,0.08752,0.062927,0.013014,0.440728,546816,0,546816,1.1835598102e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",2,"oddshape",256,267,0,11,4,"Success",0.000771,0.067655,0.061051,0.059675,0.086636,0.087738,0.06323,0.013744,0.441029,546816,0,546816,1.1835598102e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",2,"oddshape",511,513,0,0,2,"Warmup",0.007488,0.119093,0.106684,1.724931,0.616817,0.485876,0.237026,0.014402,3.312867,2097144,0,2097144,1.1934558199e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",2,"oddshape",511,513,0,1,2,"Warmup",0.000846,0.123877,0.106629,0.214949,0.508786,0.483084,0.236533,0.013706,1.689183,2097144,0,2097144,1.1934558199e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",2,"oddshape",511,513,0,2,2,"Success",0.000702,0.116366,0.106155,0.216414,0.497731,0.485634,0.236677,0.013724,1.674257,2097144,0,2097144,1.1934558199e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",2,"oddshape",511,513,0,3,2,"Success",0.000656,0.113972,0.103753,0.223046,0.513323,0.488773,0.236582,0.014748,1.695637,2097144,0,2097144,1.1934558199e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",2,"oddshape",511,513,0,4,2,"Success",0.000671,0.119772,0.10609,0.219486,0.493994,0.48923,0.236407,0.013577,1.679913,2097144,0,2097144,1.1934558199e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",2,"oddshape",511,513,0,5,2,"Success",0.000855,0.113539,0.119396,0.214837,0.495734,0.490654,0.237016,0.013373,1.6861,2097144,0,2097144,1.1934558199e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",2,"oddshape",511,513,0,6,2,"Success",0.00059,0.115199,0.105064,0.215868,0.503828,0.485153,0.23693,0.013231,1.67643,2097144,0,2097144,1.1934558199e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",2,"oddshape",511,513,0,7,2,"Success",0.0006,0.116524,0.10616,0.208779,0.488293,0.491272,0.236453,0.01468,1.663375,2097144,0,2097144,1.1934558199e-07,0
