; "SupportedThreads",64,"UsedThreads",64,"TotalMemory",135065206784,"PlanRigor","estimate","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1537232419,"CurrentTimeLocal","Mon Sep 17 18:00:19 2018","Hostname","nid01799","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 5.7e-05
; "Time_ContextDestroy [ms]", 2.5e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw","Inplace","Complex","float",1,"oddshape",130321,0,0,10,71,"Success",0.005465,66.194576,64.905178,0.077789,1.230072,0.911515,0.142201,0.710816,134.178263,1042568,0,1042568,6.4662461083e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",130321,0,0,11,71,"Success",0.005414,65.519794,64.660749,0.078165,1.141547,0.90787,0.130609,0.698261,133.143044,1042568,0,1042568,6.4662461083e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",2476099,0,0,0,72,"Warmup",0.003711,145.858276,122.095026,2.405185,20.589689,20.01256,2.54467,0.610806,314.120544,19808792,0,19808792,9.6167372373e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",2476099,0,0,1,72,"Warmup",0.003728,134.16312,122.0525,2.393554,20.635336,19.983278,2.618528,0.629303,302.48006,19808792,0,19808792,9.6167372373e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",2476099,0,0,2,72,"Success",0.005059,134.461633,123.574419,2.387018,20.749573,20.033318,2.603996,0.692989,304.508819,19808792,0,19808792,9.6167372373e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",2476099,0,0,3,72,"Success",0.00382,136.396192,121.956416,2.374329,20.63567,20.005,2.621677,0.660225,304.654127,19808792,0,19808792,9.6167372373e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",2476099,0,0,4,72,"Success",0.003865,134.104754,122.084133,2.47363,20.730051,19.949985,2.634965,0.622568,302.604654,19808792,0,19808792,9.6167372373e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",2476099,0,0,5,72,"Success",0.004629,134.701033,122.223999,2.38859,20.9167,19.9677,2.610874,0.706509,303.520719,19808792,0,19808792,9.6167372373e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",2476099,0,0,6,72,"Success",0.003584,135.692842,121.68243,2.374777,20.522171,19.94013,2.607944,0.60435,303.428771,19808792,0,19808792,9.6167372373e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",2476099,0,0,7,72,"Success",0.003634,134.209569,121.95915,2.412533,20.581973,20.035911,2.59191,0.651804,302.447238,19808792,0,19808792,9.6167372373e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",2476099,0,0,8,72,"Success",0.004511,134.987423,122.643316,2.383635,20.580057,19.955708,2.640885,0.621086,303.817254,19808792,0,19808792,9.6167372373e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",2476099,0,0,9,72,"Success",0.003652,134.293089,123.056244,2.373147,20.746897,20.048413,2.612346,0.632499,303.767179,19808792,0,19808792,9.6167372373e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",2476099,0,0,10,72,"Success",0.003629,135.838262,122.454401,2.409776,20.568075,20.119196,2.595478,0.618518,304.607969,19808792,0,19808792,9.6167372373e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",2476099,0,0,11,72,"Success",0.004528,134.269374,123.052231,2.394748,20.605011,19.989162,2.584127,0.650333,303.55015,19808792,0,19808792,9.6167372373e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",47045881,0,0,0,73,"Warmup",0.011431,685.11181,222.74539,281.316104,906.344073,897.825471,44.37075,49.132164,3086.859491,376367048,0,376367048,9.4868001656e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",47045881,0,0,1,73,"Warmup",0.012903,675.03322,220.7173,276.910438,900.583382,882.794831,44.516858,49.089189,3049.660312,376367048,0,376367048,9.4868001656e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",47045881,0,0,2,73,"Success",0.012686,675.175048,219.26641,277.890867,880.253366,881.214808,43.111013,49.418697,3026.344682,376367048,0,376367048,9.4868001656e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",47045881,0,0,3,73,"Success",0.012461,665.369485,215.49425,274.904534,883.873435,886.845261,43.107132,49.620512,3019.229437,376367048,0,376367048,9.4868001656e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",47045881,0,0,4,73,"Success",0.012948,692.494119,230.903683,279.018887,884.651072,887.833875,43.242013,49.084914,3067.24372,376367048,0,376367048,9.4868001656e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",47045881,0,0,5,73,"Success",0.012785,665.941037,220.460785,278.912573,885.436502,886.16506,43.308001,49.105146,3029.343509,376367048,0,376367048,9.4868001656e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",47045881,0,0,6,73,"Success",0.012289,667.440235,214.395142,274.307113,887.359993,887.850768,43.258101,49.109832,3023.735473,376367048,0,376367048,9.4868001656e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",47045881,0,0,7,73,"Success",0.012468,665.83697,218.831865,274.349046,885.935684,885.83709,43.307476,49.049229,3023.161551,376367048,0,376367048,9.4868001656e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",47045881,0,0,8,73,"Success",0.012234,667.161729,216.873839,274.756218,884.506965,884.484921,43.199382,49.096393,3020.106574,376367048,0,376367048,9.4868001656e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",47045881,0,0,9,73,"Success",0.012281,665.660478,216.858125,275.059794,884.424588,884.605604,43.252231,49.327667,3019.202852,376367048,0,376367048,9.4868001656e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",47045881,0,0,10,73,"Success",0.012177,666.217952,215.063465,274.702216,884.091927,884.33944,43.281118,49.365443,3017.075716,376367048,0,376367048,9.4868001656e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",47045881,0,0,11,73,"Success",0.012211,666.92344,216.409066,274.426815,885.24575,886.013034,43.099315,49.102739,3021.234345,376367048,0,376367048,9.4868001656e-08,0
"Fftw","Inplace","Complex","float",1,"powerof2",4,0,0,0,0,"Warmup",0.000138,0.015495,0.010973,6.1e-05,0.000196,5.3e-05,2.7e-05,0.000373,0.027563,32,0,32,0,0
