; "SupportedThreads",64,"UsedThreads",64,"TotalMemory",135065206784,"PlanRigor","estimate","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1536721379,"CurrentTimeLocal","Tue Sep 11 20:02:59 2018","Hostname","nid01115","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 0.00015
; "Time_ContextDestroy [ms]", 4.8e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw","Inplace","Complex","float",1,"powerof2",32,0,0,1,3,"Warmup",0.000147,0.028625,0.021719,9.7e-05,0.000354,0.000271,4e-05,0.000476,0.051952,256,0,256,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",32,0,0,2,3,"Success",0.00016,0.028047,0.021804,9.5e-05,0.000383,0.00027,3.9e-05,0.000479,0.051542,256,0,256,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",32,0,0,3,3,"Success",0.000149,0.027818,0.021928,8.4e-05,0.000377,0.000259,4e-05,0.000488,0.051468,256,0,256,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",32,0,0,4,3,"Success",0.000154,0.027943,0.021935,8.2e-05,0.00036,0.000255,4e-05,0.000454,0.051544,256,0,256,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",32,0,0,5,3,"Success",0.000167,0.027515,0.021859,8.2e-05,0.000338,0.000252,3.9e-05,0.000465,0.050974,256,0,256,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",32,0,0,6,3,"Success",0.000154,0.027836,0.021568,8.3e-05,0.000363,0.000226,3.9e-05,0.000414,0.050988,256,0,256,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",32,0,0,7,3,"Success",0.000152,0.027629,0.021715,8.4e-05,0.000354,0.000236,4e-05,0.000437,0.050877,256,0,256,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",32,0,0,8,3,"Success",0.000156,0.027737,0.021932,8.3e-05,0.000355,0.000242,3.4e-05,0.000425,0.051213,256,0,256,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",32,0,0,9,3,"Success",0.00016,0.029546,0.023901,8.9e-05,0.000348,0.000271,4.4e-05,0.000431,0.055026,256,0,256,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",32,0,0,10,3,"Success",0.000152,0.027516,0.021789,0.000103,0.000358,0.000259,3.3e-05,0.00046,0.050884,256,0,256,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",32,0,0,11,3,"Success",0.000148,0.027863,0.021567,0.0001,0.000393,0.000261,3.3e-05,0.000446,0.051042,256,0,256,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",64,0,0,0,4,"Warmup",0.000158,0.035663,0.027265,0.000116,0.000707,0.000583,6.7e-05,0.000585,0.065409,512,0,512,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",64,0,0,1,4,"Warmup",0.000159,0.033906,0.026958,0.000118,0.000673,0.000546,4.6e-05,0.000511,0.063189,512,0,512,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",64,0,0,2,4,"Success",0.000167,0.033599,0.026659,0.000122,0.000621,0.000509,4.4e-05,0.000481,0.062461,512,0,512,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",64,0,0,3,4,"Success",0.000144,0.033227,0.026743,0.000101,0.000626,0.000547,5.5e-05,0.000512,0.062265,512,0,512,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",64,0,0,4,4,"Success",0.000176,0.03304,0.026644,0.000116,0.000625,0.000548,5.6e-05,0.000478,0.061952,512,0,512,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",64,0,0,5,4,"Success",0.000169,0.033194,0.026478,9.2e-05,0.000634,0.000517,4.4e-05,0.000479,0.061842,512,0,512,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",64,0,0,6,4,"Success",0.00017,0.033012,0.026869,0.000103,0.000619,0.000509,4e-05,0.000521,0.062073,512,0,512,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",64,0,0,7,4,"Success",0.000164,0.033302,0.026516,0.000109,0.000661,0.00052,4.7e-05,0.000444,0.061972,512,0,512,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",64,0,0,8,4,"Success",0.000148,0.033292,0.02652,0.000117,0.000606,0.000492,4e-05,0.000482,0.061981,512,0,512,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",64,0,0,9,4,"Success",0.000174,0.033171,0.026702,0.000116,0.00062,0.000491,4e-05,0.000482,0.062055,512,0,512,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",64,0,0,10,4,"Success",0.000189,0.033426,0.027025,0.000101,0.000631,0.000507,4e-05,0.000489,0.062678,512,0,512,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",64,0,0,11,4,"Success",0.000166,0.032996,0.026579,0.000113,0.000595,0.000507,3.9e-05,0.000472,0.061706,512,0,512,0,0
