; "SupportedThreads",272,"UsedThreads",272,"TotalMemory",101215670272,"PlanRigor","estimate","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1536875344,"CurrentTimeLocal","Thu Sep 13 14:49:04 2018","Hostname","nid07929","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 0.00023
; "Time_ContextDestroy [ms]", 0.00025
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw","Inplace","Complex","float",1,"powerof2",16,0,0,3,2,"Success",0.00082,0.114992,0.084251,0.00086,0.00463,0.00131,0.00015,0.00201,0.210793,128,0,128,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",16,0,0,4,2,"Success",0.00082,0.114311,0.084551,0.00093,0.0024,0.00336,0.00017,0.00198,0.210372,128,0,128,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",16,0,0,5,2,"Success",0.00064,0.115732,0.084571,0.00092,0.00234,0.00354,0.00017,0.00205,0.211663,128,0,128,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",16,0,0,6,2,"Success",0.0007,0.112561,0.084812,0.00095,0.00248,0.00344,0.00017,0.00218,0.209013,128,0,128,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",16,0,0,7,2,"Success",0.00082,0.115072,0.084461,0.00075,0.00263,0.00344,0.00017,0.00212,0.211063,128,0,128,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",16,0,0,8,2,"Success",0.00084,0.113472,0.084281,0.00084,0.00244,0.00144,0.00017,0.002,0.207153,128,0,128,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",16,0,0,9,2,"Success",0.00096,0.112441,0.084381,0.00093,0.00451,0.00354,0.00017,0.00204,0.210742,128,0,128,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",16,0,0,10,2,"Success",0.00082,0.115632,0.084841,0.00085,0.0045,0.00347,0.00016,0.00228,0.214403,128,0,128,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",16,0,0,11,2,"Success",0.0007,0.115142,0.084601,0.00078,0.00253,0.00149,0.00017,0.00204,0.209263,128,0,128,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",32,0,0,0,3,"Warmup",0.00096,0.133212,0.099761,0.00092,0.00337,0.00233,0.00016,0.00225,0.244693,256,0,256,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",32,0,0,1,3,"Warmup",0.0007,0.130112,0.099901,0.00087,0.00602,0.00288,0.00014,0.00212,0.244623,256,0,256,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",32,0,0,2,3,"Success",0.00096,0.131152,0.100101,0.00088,0.00387,0.00318,0.00016,0.00204,0.244073,256,0,256,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",32,0,0,3,3,"Success",0.00097,0.128932,0.099651,0.00088,0.00397,0.00304,0.00016,0.00217,0.241483,256,0,256,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",32,0,0,4,3,"Success",0.00097,0.132002,0.099621,0.00088,0.00337,0.00307,0.00016,0.00217,0.244003,256,0,256,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",32,0,0,5,3,"Success",0.00097,0.132182,0.099561,0.00088,0.00352,0.00288,0.00016,0.00216,0.244083,256,0,256,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",32,0,0,6,3,"Success",0.00084,0.129592,0.100091,0.00085,0.00361,0.00311,0.00016,0.0019,0.241943,256,0,256,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",32,0,0,7,3,"Success",0.00084,0.131912,0.099871,0.00082,0.00356,0.00298,0.00014,0.00204,0.243953,256,0,256,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",32,0,0,8,3,"Success",0.00097,0.128621,0.099781,0.00089,0.00379,0.003091,0.00016,0.00193,0.240903,256,0,256,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",32,0,0,9,3,"Success",0.00096,0.131092,0.099821,0.00088,0.00342,0.00264,0.00016,0.00209,0.242803,256,0,256,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",32,0,0,10,3,"Success",0.00098,0.180862,0.100661,0.00087,0.00571,0.0031,0.00015,0.00203,0.296063,256,0,256,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",32,0,0,11,3,"Success",0.00085,0.133141,0.099572,0.00092,0.00398,0.00272,0.00014,0.00216,0.245303,256,0,256,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",64,0,0,0,4,"Warmup",0.00111,0.153842,0.118221,0.00093,0.00607,0.00499,0.00019,0.00234,0.289533,512,0,512,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",64,0,0,1,4,"Warmup",0.00086,0.149132,0.117642,0.00109,0.00677,0.00522,0.00016,0.00218,0.284924,512,0,512,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",64,0,0,2,4,"Success",0.00087,0.148882,0.117772,0.0007,0.00657,0.00511,0.00018,0.00219,0.284154,512,0,512,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",64,0,0,3,4,"Success",0.00098,0.152982,0.118521,0.00097,0.00629,0.00531,0.00018,0.00237,0.289483,512,0,512,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",64,0,0,4,4,"Success",0.00086,0.150232,0.117872,0.00093,0.00621,0.0053,0.00018,0.0023,0.285704,512,0,512,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",64,0,0,5,4,"Success",0.00086,0.152072,0.117852,0.00086,0.00628,0.0052,0.00016,0.00244,0.287544,512,0,512,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",64,0,0,6,4,"Success",0.00086,0.152982,0.118392,0.00091,0.00632,0.00515,0.00016,0.00222,0.288864,512,0,512,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",64,0,0,7,4,"Success",0.001,0.151882,0.117811,0.0006,0.00654,0.00531,0.00016,0.0023,0.287353,512,0,512,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",64,0,0,8,4,"Success",0.00112,0.153422,0.117351,0.0009,0.00636,0.00526,0.00016,0.00228,0.288783,512,0,512,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",64,0,0,9,4,"Success",0.00114,0.199122,0.120252,0.00101,0.00647,0.00519,0.00016,0.00232,0.337434,512,0,512,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",64,0,0,10,4,"Success",0.00088,0.151182,0.117501,0.00088,0.00656,0.005301,0.00018,0.00229,0.286704,512,0,512,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",64,0,0,11,4,"Success",0.00115,0.151372,0.117381,0.00077,0.00656,0.005311,0.00016,0.00238,0.286944,512,0,512,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",128,0,0,0,5,"Warmup",0.01415,0.174852,0.142472,0.00122,0.01108,0.009091,0.00031,0.00359,0.358575,1024,0,1024,0,0
