; "SupportedThreads",272,"UsedThreads",272,"TotalMemory",101215670272,"PlanRigor","estimate","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1536876047,"CurrentTimeLocal","Thu Sep 13 15:00:47 2018","Hostname","nid07929","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 0.00028
; "Time_ContextDestroy [ms]", 0.00028
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",2476099,0,0,8,55,"Success",0.0208,15.497295,15.752129,3.708827,10.594844,10.565173,2.721994,2.275179,61.142561,19808792,0,19808792,2.7602690501e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",2476099,0,0,9,55,"Success",0.0199,15.418865,15.694318,3.711417,10.473962,10.620234,2.674243,2.159707,60.778127,19808792,0,19808792,2.7602690501e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",2476099,0,0,10,55,"Success",0.02004,15.86817,15.471245,3.697377,10.532263,10.534953,2.697334,2.37884,61.206542,19808792,0,19808792,2.7602690501e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",2476099,0,0,11,55,"Success",0.02048,15.642998,15.391204,3.714857,10.584494,10.616744,2.679384,2.346389,61.00252,19808792,0,19808792,2.7602690501e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",4,0,0,0,0,"Warmup",0.00912,0.094741,0.059821,0.0008,0.00188,0.00095,0.00015,0.313964,0.482876,32,0,32,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",4,0,0,1,0,"Warmup",0.00946,0.097051,0.063151,0.00093,0.00187,0.00096,0.00015,0.350634,0.525716,32,0,32,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",4,0,0,2,0,"Success",0.00928,0.098322,0.05909,0.00065,0.00189,0.00094,0.00015,0.311874,0.483726,32,0,32,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",4,0,0,3,0,"Success",0.00945,0.097041,0.066061,0.00073,0.00199,0.00096,0.00015,0.316274,0.494166,32,0,32,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",4,0,0,4,0,"Success",0.01001,0.095972,0.05926,0.00078,0.00187,0.00075,0.00016,0.313074,0.483296,32,0,32,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",4,0,0,5,0,"Success",0.00969,0.095391,0.063741,0.00077,0.00189,0.00082,0.00016,0.315834,0.489786,32,0,32,0,0
