; "SupportedThreads",64,"UsedThreads",64,"TotalMemory",135065378816,"PlanRigor","estimate","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1545139284,"CurrentTimeLocal","Tue Dec 18 05:21:24 2018","Hostname","nid01333","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 7.3e-05
; "Time_ContextDestroy [ms]", 3.9e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",4,0,0,1,0,"Warmup",0.000177,0.00149,0.000678,7.4e-05,5.7e-05,6.9e-05,2.6e-05,0.000952,0.003701,32,0,32,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",4,0,0,2,0,"Success",0.000189,0.001498,0.000664,7.3e-05,4.3e-05,5.5e-05,2.7e-05,0.000957,0.003694,32,0,32,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",4,0,0,3,0,"Success",0.000166,0.001497,0.000683,6.1e-05,4.9e-05,5.6e-05,1.5e-05,0.000963,0.0037,32,0,32,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",4,0,0,4,0,"Success",0.000182,0.001523,0.00068,7.2e-05,5.9e-05,6.6e-05,2.7e-05,0.000986,0.00376,32,0,32,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",4,0,0,5,0,"Success",0.000196,0.001501,0.00068,7.4e-05,5.1e-05,5.8e-05,1.5e-05,0.000954,0.003729,32,0,32,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",4,0,0,6,0,"Success",0.000198,0.001518,0.00069,7.3e-05,4.8e-05,5.8e-05,1.5e-05,0.000959,0.00376,32,0,32,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",4,0,0,7,0,"Success",0.000192,0.001521,0.000679,7.4e-05,6.1e-05,6.9e-05,1.6e-05,0.000945,0.003733,32,0,32,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",4,0,0,8,0,"Success",0.000192,0.001538,0.000677,7.2e-05,6.3e-05,7e-05,2.6e-05,0.000964,0.003769,32,0,32,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",4,0,0,9,0,"Success",0.000191,0.001504,0.000677,7.4e-05,4.9e-05,6.8e-05,1.5e-05,0.001024,0.003802,32,0,32,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",4,0,0,10,0,"Success",0.000201,0.001528,0.000678,7.2e-05,4.7e-05,5.7e-05,1.5e-05,0.000956,0.003741,32,0,32,0,0
