; "SupportedThreads",64,"UsedThreads",64,"TotalMemory",135065378816,"PlanRigor","estimate","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1537608790,"CurrentTimeLocal","Sat Sep 22 02:33:10 2018","Hostname","nid01287","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 7.3e-05
; "Time_ContextDestroy [ms]", 8.6e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",32,0,0,7,3,"Success",0.000221,0.001683,0.00087,7.8e-05,0.0001,0.000128,1.8e-05,0.001018,0.004315,256,0,256,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",32,0,0,8,3,"Success",0.00022,0.001713,0.000867,7.9e-05,0.000113,0.000142,1.7e-05,0.001053,0.004395,256,0,256,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",32,0,0,9,3,"Success",0.000182,0.001712,0.000859,7.7e-05,0.0001,0.00013,1.8e-05,0.001037,0.004299,256,0,256,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",32,0,0,10,3,"Success",0.000179,0.001713,0.000861,7.7e-05,9.9e-05,0.000134,1.7e-05,0.001048,0.004339,256,0,256,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",32,0,0,11,3,"Success",0.000164,0.00174,0.000881,7.8e-05,0.000114,0.000127,2.9e-05,0.001034,0.004361,256,0,256,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",64,0,0,0,4,"Warmup",0.000338,0.002998,0.00088,0.000126,0.002345,0.000219,5.5e-05,0.001291,0.008514,512,0,512,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",64,0,0,1,4,"Warmup",0.000225,0.001907,0.000804,9.4e-05,0.000186,0.000186,3.1e-05,0.001066,0.004659,512,0,512,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",64,0,0,2,4,"Success",0.000199,0.001745,0.000779,9.1e-05,0.000155,0.000157,3.1e-05,0.001047,0.004383,512,0,512,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",64,0,0,3,4,"Success",0.000196,0.001705,0.000809,9.2e-05,0.000159,0.000153,1.9e-05,0.001013,0.004353,512,0,512,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",64,0,0,4,4,"Success",0.000206,0.001739,0.000768,9.1e-05,0.000156,0.000153,2e-05,0.001014,0.00435,512,0,512,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",64,0,0,5,4,"Success",0.000226,0.001716,0.000763,0.000102,0.000157,0.000133,2e-05,0.001008,0.004319,512,0,512,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",64,0,0,6,4,"Success",0.0002,0.001721,0.000769,9.2e-05,0.000158,0.000154,2e-05,0.001035,0.004337,512,0,512,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",64,0,0,7,4,"Success",0.000229,0.001741,0.000781,9.1e-05,0.000155,0.000143,3.1e-05,0.001014,0.004333,512,0,512,0,0
